"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"96",8079808,"Male","Not First Generation College Stdnt","202510",NA,3.57
"97",8082698,"Male","Not First Generation College Stdnt","202410",4,4
"98",8082698,"Male","Not First Generation College Stdnt","202420",3.88,3.81
"99",8082698,"Male","Not First Generation College Stdnt","202510",NA,3.81
"100",8084216,"Female","First Generation College Stdnt","202420",2,1.56
"101",8084216,"Female","First Generation College Stdnt","202510",NA,1.56
"102",8084216,"Female","Not First Generation College Stdnt","202410",1.35,1.35
"103",8085468,"Male","Not First Generation College Stdnt","202410",2.72,2.72
"104",8085468,"Male","Not First Generation College Stdnt","202420",3.43,3.1
"105",8085468,"Male","Not First Generation College Stdnt","202510",NA,3.1
"106",8085741,"Male","Not First Generation College Stdnt","202410",3.58,3.58
"107",8085741,"Male","Not First Generation College Stdnt","202420",3.75,3.65
"108",8085741,"Male","Not First Generation College Stdnt","202510",NA,3.65
"109",8088041,"Male","Not First Generation College Stdnt","202410",2.21,2.21
"110",8088041,"Male","Not First Generation College Stdnt","202420",2.32,2.26
"111",8088041,"Male","Not First Generation College Stdnt","202510",NA,2.26
"112",8088162,"Male","Not First Generation College Stdnt","202410",3.48,3.48
"113",8088162,"Male","Not First Generation College Stdnt","202420",3.33,3.41
"114",8088162,"Male","Not First Generation College Stdnt","202510",NA,3.41
"115",8088163,"Male","Not First Generation College Stdnt","202410",2.5,2.5
"116",8088163,"Male","Not First Generation College Stdnt","202420",1.42,1.85
"117",8088163,"Male","Not First Generation College Stdnt","202510",NA,1.85
"118",8088846,"Male","Not First Generation College Stdnt","202410",2.01,2.01
"119",8088846,"Male","Not First Generation College Stdnt","202420",2.26,2.13
"120",8088846,"Male","Not First Generation College Stdnt","202510",NA,2.13
"121",8091615,"Female","Not First Generation College Stdnt","202410",3.15,3.15
"122",8091615,"Female","Not First Generation College Stdnt","202420",2.8,2.95
"123",8091615,"Female","Not First Generation College Stdnt","202510",NA,2.95
"124",8092370,"Male","First Generation College Stdnt","202410",2.67,2.67
"125",8092370,"Male","First Generation College Stdnt","202420",3.01,2.82
"126",8092370,"Male","First Generation College Stdnt","202510",NA,2.82
"127",8093446,"Male","First Generation College Stdnt","202410",2.22,2.22
"128",8093446,"Male","First Generation College Stdnt","202420",2.21,2.21
"129",8093446,"Male","First Generation College Stdnt","202510",NA,2.21
"130",8093858,"Male","Not First Generation College Stdnt","202410",3.58,3.58
"131",8093858,"Male","Not First Generation College Stdnt","202420",3.1,3.41
"132",8093858,"Male","Not First Generation College Stdnt","202510",NA,3.41
"133",8094275,"Male","First Generation College Stdnt","202410",3.51,3.51
"134",8094275,"Male","First Generation College Stdnt","202420",2.07,2.74
"135",8094275,"Male","First Generation College Stdnt","202510",NA,2.62
"136",8094689,"Female","Not First Generation College Stdnt","202410",3.68,3.68
"137",8094689,"Female","Not First Generation College Stdnt","202420",3.78,3.73
"138",8094689,"Female","Not First Generation College Stdnt","202510",NA,3.73
"139",8094793,"Male","Not First Generation College Stdnt","202410",3.84,3.84
"140",8094793,"Male","Not First Generation College Stdnt","202420",3.91,3.87
"141",8094793,"Male","Not First Generation College Stdnt","202510",NA,3.87
"142",8095052,"Male","Not First Generation College Stdnt","202410",3.83,3.83
"143",8095052,"Male","Not First Generation College Stdnt","202420",3.63,3.73
"144",8095052,"Male","Not First Generation College Stdnt","202510",NA,3.73
"145",8096247,"Male","Not First Generation College Stdnt","202410",2.68,2.68
"146",8096247,"Male","Not First Generation College Stdnt","202420",3.4,3.05
"147",8096247,"Male","Not First Generation College Stdnt","202510",NA,3.05
"148",8096785,"Male","Not First Generation College Stdnt","202410",2.34,2.34
"149",8096785,"Male","Not First Generation College Stdnt","202420",3.06,2.69
"150",8096785,"Male","Not First Generation College Stdnt","202510",NA,2.69
"151",8096793,"Male","Not First Generation College Stdnt","202410",3.82,3.82
"152",8096793,"Male","Not First Generation College Stdnt","202420",3.22,3.52
"153",8096793,"Male","Not First Generation College Stdnt","202510",NA,3.52
"154",8097103,"Male","Not First Generation College Stdnt","202410",3.72,3.72
"155",8097103,"Male","Not First Generation College Stdnt","202420",3.75,3.73
"156",8097103,"Male","Not First Generation College Stdnt","202510",NA,3.73
"157",8097201,"Female","Not First Generation College Stdnt","202410",3.63,3.63
"158",8097201,"Female","Not First Generation College Stdnt","202420",3.52,3.57
"159",8097201,"Female","Not First Generation College Stdnt","202510",NA,3.57
"160",8097337,"Female","Not First Generation College Stdnt","202410",3.28,3.28
"161",8097337,"Female","Not First Generation College Stdnt","202420",3.51,3.38
"162",8097337,"Female","Not First Generation College Stdnt","202510",NA,3.38
"163",8097617,"Male","Not First Generation College Stdnt","202410",3.91,3.91
"164",8097617,"Male","Not First Generation College Stdnt","202420",4,3.95
"165",8097617,"Male","Not First Generation College Stdnt","202510",NA,3.95
"166",8097917,"Male","Not First Generation College Stdnt","202410",2.95,2.95
"167",8097917,"Male","Not First Generation College Stdnt","202420",2.97,2.96
"168",8097917,"Male","Not First Generation College Stdnt","202510",NA,2.96
"169",8098459,"Female","First Generation College Stdnt","202410",3.23,3.23
"170",8098459,"Female","First Generation College Stdnt","202420",2.14,2.57
"171",8098459,"Female","First Generation College Stdnt","202510",NA,2.57
"172",8098511,"Male","Not First Generation College Stdnt","202410",3.8,3.8
"173",8098511,"Male","Not First Generation College Stdnt","202420",3.8,3.8
"174",8098511,"Male","Not First Generation College Stdnt","202510",NA,3.8
"175",8098637,"Male","Not First Generation College Stdnt","202410",3.9,3.9
"176",8098637,"Male","Not First Generation College Stdnt","202420",3.98,3.94
"177",8098637,"Male","Not First Generation College Stdnt","202510",NA,3.94
"178",8098693,"Male","Not First Generation College Stdnt","202410",3.38,3.38
"179",8098693,"Male","Not First Generation College Stdnt","202420",3.4,3.39
"180",8098693,"Male","Not First Generation College Stdnt","202510",NA,3.39
"181",8098995,"Female","Not First Generation College Stdnt","202410",3.49,3.49
