"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"112",8088163,"202410","202420",1,"BA Major","Entrepreneurship",NA
"113",8088163,"202410","202510",1,"BA Major","Entrepreneurship",NA
"114",8088846,"202410","202410",1,"BA Major",NA,NA
"115",8088846,"202410","202420",1,"BA Major",NA,NA
"116",8088846,"202410","202510",1,"BA Major",NA,NA
"117",8091615,"202410","202410",1,"BA Major",NA,NA
"118",8091615,"202410","202420",1,"BA Major",NA,NA
"119",8091615,"202410","202510",1,"BA Major",NA,NA
"120",8092370,"202410","202410",1,"BA Major",NA,NA
"121",8092370,"202410","202420",1,"BA Major",NA,NA
"122",8092370,"202410","202510",1,"BA Major",NA,NA
"123",8093446,"202410","202410",1,"BA Major",NA,NA
"124",8093446,"202410","202420",1,"BA Major",NA,NA
"125",8093446,"202410","202510",1,"BA Major",NA,NA
"126",8093858,"202410","202410",1,"BA Major",NA,NA
"127",8093858,"202410","202420",1,"BA Major",NA,NA
"128",8093858,"202410","202510",1,"BA Major",NA,NA
"129",8094275,"202410","202410",1,"BA Major",NA,NA
"130",8094275,"202410","202420",1,"BA Major",NA,NA
"131",8094275,"202410","202510",1,"BA Major",NA,NA
"132",8094689,"202410","202410",1,"BA Major",NA,NA
"133",8094689,"202410","202420",1,"BA Major",NA,NA
"134",8094689,"202410","202510",1,"BA Major",NA,NA
"135",8094793,"202410","202410",1,"BA Major",NA,NA
"136",8094793,"202410","202420",1,"Finance",NA,NA
"137",8094793,"202410","202510",1,"Finance",NA,NA
"138",8095052,"202410","202410",1,"BA Major",NA,NA
"139",8095052,"202410","202420",1,"Accountancy",NA,NA
"140",8095052,"202410","202510",1,"Accountancy",NA,NA
"141",8096247,"202410","202410",1,"BA Major",NA,NA
"142",8096247,"202410","202420",1,"Marketing",NA,NA
"143",8096247,"202410","202510",1,"Marketing",NA,NA
"144",8096785,"202410","202410",1,"BA Major",NA,NA
"145",8096785,"202410","202420",1,"BA Major",NA,NA
"146",8096785,"202410","202510",1,"BA Major",NA,NA
"147",8096793,"202410","202410",1,"Undeclared - Business",NA,NA
"148",8096793,"202410","202420",1,"Undeclared - Business",NA,NA
"149",8096793,"202410","202510",1,"BA Major",NA,NA
"150",8097103,"202410","202410",1,"BA Major",NA,NA
"151",8097103,"202410","202420",1,"BA Major",NA,NA
"152",8097103,"202410","202510",1,"BA Major",NA,NA
"153",8097201,"202410","202410",1,"Marketing",NA,NA
"154",8097201,"202410","202420",1,"Marketing",NA,NA
"155",8097201,"202410","202510",1,"BA Major",NA,NA
"156",8097337,"202410","202410",1,"BA Major",NA,NA
"157",8097337,"202410","202420",1,"BA Major",NA,NA
"158",8097337,"202410","202510",1,"BA Major",NA,NA
"159",8097617,"202410","202410",1,"BA Major",NA,NA
"160",8097617,"202410","202420",1,"BA Major","Finance",NA
"161",8097617,"202410","202510",1,"BA Major","Finance",NA
"162",8097917,"202410","202410",1,"BA Major",NA,NA
"163",8097917,"202410","202420",1,"BA Major",NA,NA
"164",8097917,"202410","202510",1,"BA Major",NA,NA
"165",8098459,"202410","202410",1,"BA Major",NA,NA
"166",8098459,"202410","202420",1,"BA Major",NA,NA
"167",8098459,"202410","202510",1,"BA Major",NA,NA
"168",8098511,"202410","202410",1,"BA Major",NA,NA
"169",8098511,"202410","202420",1,"BA Major",NA,NA
"170",8098511,"202410","202510",1,"BA Major",NA,NA
"171",8098637,"202410","202410",1,"Business Economics",NA,NA
"172",8098637,"202410","202420",1,"BA Major",NA,NA
"173",8098637,"202410","202510",1,"Accountancy",NA,NA
"174",8098693,"202410","202410",1,"BA Major",NA,NA
"175",8098693,"202410","202420",1,"Marketing",NA,NA
"176",8098693,"202410","202510",1,"Marketing",NA,NA
"177",8098995,"202410","202410",1,"BA Major","CAS",NA
"178",8098995,"202410","202420",1,"BA Major","CAS",NA
"179",8098995,"202410","202510",1,"BA Major","CAS",NA
"180",8099721,"202410","202410",1,"BA Major",NA,NA
"181",8099721,"202410","202420",1,"BA Major",NA,NA
"182",8099721,"202410","202510",1,"BA Major",NA,NA
"183",8099820,"202410","202410",1,"BA Major",NA,NA
"184",8099820,"202410","202420",1,"BA Major",NA,NA
"185",8099820,"202410","202510",1,"BA Major",NA,NA
"186",8100116,"202410","202410",1,"Undeclared - Business",NA,NA
"187",8100116,"202410","202420",1,"Undeclared - Business",NA,NA
"188",8100116,"202410","202510",1,"BA Major",NA,NA
"189",8100342,"202410","202410",1,"CAS",NA,NA
"190",8100342,"202410","202420",1,"CAS",NA,NA
"191",8100342,"202410","202510",1,"BA Major",NA,NA
"192",8100526,"202410","202410",1,"CAS",NA,NA
"193",8100526,"202410","202420",1,"CAS",NA,NA
"194",8100526,"202410","202510",1,"BA Major",NA,NA
"195",8100549,"202410","202410",1,"Undeclared - Business",NA,NA
"196",8100549,"202410","202420",1,"BA Major",NA,NA
"197",8100549,"202410","202510",1,"BA Major",NA,NA
"198",8100919,"202410","202410",1,"BA Major",NA,NA
"199",8100919,"202410","202420",1,"BA Major",NA,NA
"200",8100919,"202410","202510",1,"BA Major",NA,NA
"201",8101018,"202410","202410",1,"CAS",NA,NA
"202",8101018,"202410","202420",1,"CAS",NA,NA
"203",8101018,"202410","202510",1,"BA Major",NA,NA
"204",8101123,"202410","202410",1,"BA Major",NA,NA
"205",8101123,"202410","202420",1,"Finance",NA,NA
"206",8101123,"202410","202510",1,"Finance",NA,NA
"207",8101143,"202410","202410",1,"BA Major",NA,NA
"208",8101143,"202410","202420",1,"BA Major",NA,NA
"209",8101143,"202410","202510",1,"BA Major",NA,NA
"210",8101331,"202410","202410",1,"BA Major",NA,NA
"211",8101331,"202410","202420",1,"BA Major",NA,NA
"212",8101331,"202410","202510",1,"BA Major",NA,NA
"213",8101424,"202410","202410",1,"BA Major",NA,NA
"214",8101424,"202410","202420",1,"BA Major",NA,NA
"215",8101424,"202410","202510",1,"BA Major",NA,NA
"216",8101439,"202410","202410",1,"BA Major",NA,NA
"217",8101439,"202410","202420",1,"BA Major",NA,NA
"218",8101439,"202410","202510",1,"BA Major",NA,NA
"219",8102153,"202410","202410",1,"BA Major",NA,NA
"220",8102153,"202410","202420",1,"BA Major",NA,NA
"221",8102153,"202410","202510",1,"BA Major",NA,NA
"222",8102286,"202410","202410",1,"BA Major",NA,NA
"223",8102286,"202410","202420",1,"BA Major",NA,NA
"224",8102286,"202410","202510",1,"BA Major",NA,NA
"225",8102295,"202410","202410",1,"BA Major",NA,NA
"226",8102295,"202410","202420",1,"BA Major",NA,NA
"227",8102295,"202410","202510",1,"BA Major",NA,NA
"228",8102400,"202410","202410",1,"BA Major",NA,NA
"229",8102400,"202410","202420",1,"BA Major",NA,NA
"230",8102400,"202410","202510",1,"BA Major",NA,NA
"231",8102524,"202410","202410",1,"BA Major",NA,NA
"232",8102524,"202410","202420",1,"Supply Chain & Operations Mgmt",NA,NA
"233",8102524,"202410","202510",1,"Supply Chain & Operations Mgmt",NA,NA
"234",8102798,"202410","202410",1,"BA Major",NA,NA
"235",8102798,"202410","202420",1,"BA Major",NA,NA
"236",8102798,"202410","202510",1,"BA Major",NA,NA
"237",8102811,"202410","202410",1,"BA Major",NA,NA
"238",8102811,"202410","202420",1,"BA Major",NA,NA
"239",8102811,"202410","202510",1,"BA Major",NA,NA
"240",8102842,"202410","202410",1,"BA Major",NA,NA
"241",8102842,"202410","202420",1,"Accountancy",NA,NA
"242",8102842,"202410","202510",1,"Accountancy",NA,NA
"243",8102851,"202410","202410",1,"BA Major",NA,NA
"244",8102851,"202410","202420",1,"BA Major",NA,NA
"245",8102851,"202410","202510",1,"BA Major",NA,NA
"246",8102908,"202410","202410",1,"BA Major",NA,NA
"247",8102908,"202410","202420",1,"Marketing",NA,NA
"248",8102908,"202410","202510",1,"Marketing",NA,NA
"249",8103304,"202410","202410",1,"BA Major",NA,NA
"250",8103304,"202410","202420",1,"BA Major",NA,NA
"251",8103304,"202410","202510",1,"BA Major",NA,NA
"252",8103469,"202410","202410",1,"BA Major",NA,NA
"253",8103469,"202410","202420",1,"BA Major",NA,NA
"254",8103469,"202410","202510",1,"Accountancy",NA,NA
"255",8103883,"202410","202410",1,"BA Major",NA,NA
"256",8103883,"202410","202420",1,"BA Major",NA,NA
"257",8103883,"202410","202510",1,"Business Economics",NA,NA
"258",8103899,"202410","202410",1,"BA Major",NA,NA
"259",8103899,"202410","202420",1,"BA Major",NA,NA
"260",8103899,"202410","202510",1,"BA Major",NA,NA
"261",8104179,"202410","202410",1,"BA Major",NA,NA
"262",8104179,"202410","202420",1,"BA Major",NA,NA
"263",8104179,"202410","202510",1,"BA Major",NA,NA
"264",8104279,"202410","202410",1,"BA Major",NA,NA
"265",8104279,"202410","202420",1,"BA Major",NA,NA
"266",8104279,"202410","202510",1,"BA Major",NA,NA
"267",8104556,"202410","202410",1,"BA Major",NA,NA
"268",8104556,"202410","202420",1,"BA Major",NA,NA
"269",8104556,"202410","202510",1,"BA Major",NA,NA
"270",8104584,"202410","202410",1,"BA Major",NA,NA
"271",8104584,"202410","202420",1,"Accountancy",NA,NA
"272",8104584,"202410","202510",1,"Accountancy",NA,NA
"273",8104623,"202410","202410",1,"BA Major",NA,NA
"274",8104623,"202410","202420",1,"BA Major",NA,NA
"275",8104748,"202410","202410",1,"BA Major",NA,NA
"276",8104748,"202410","202420",1,"BA Major",NA,NA
"277",8104748,"202410","202510",1,"Finance",NA,NA
"278",8104808,"202410","202410",1,"BA Major","Supply Chain & Operations Mgmt",NA
"279",8104808,"202410","202420",1,"Supply Chain & Operations Mgmt",NA,NA
"280",8104808,"202410","202510",1,"Supply Chain & Operations Mgmt",NA,NA
"281",8104842,"202410","202410",1,"BA Major",NA,NA
"282",8104842,"202410","202420",1,"BA Major",NA,NA
"283",8104842,"202410","202510",1,"BA Major",NA,NA
"284",8104880,"202410","202410",1,"BA Major",NA,NA
"285",8104880,"202410","202420",1,"BA Major",NA,NA
"286",8104880,"202410","202510",1,"BA Major",NA,NA
"287",8105202,"202410","202410",1,"BA Major",NA,NA
"288",8105202,"202410","202420",1,"BA Major",NA,NA
"289",8105202,"202410","202510",1,"BA Major",NA,NA
"290",8105427,"202410","202410",1,"Business Economics",NA,NA
"291",8105427,"202410","202420",1,"Business Economics",NA,NA
"292",8105427,"202410","202510",1,"BA Major",NA,NA
"293",8105588,"202410","202410",1,"BA Major",NA,NA
"294",8105588,"202410","202420",1,"CEC",NA,NA
"295",8105588,"202410","202510",1,"CEC",NA,NA
"296",8105593,"202410","202410",1,"BA Major",NA,NA
"297",8105593,"202410","202420",1,"BA Major",NA,NA
"298",8105593,"202410","202510",1,"BA Major",NA,NA
"299",8105742,"202410","202410",1,"BA Major",NA,NA
"300",8105742,"202410","202420",1,"BA Major",NA,NA
"301",8105742,"202410","202510",1,"BA Major",NA,NA
"302",8105892,"202410","202410",1,"BA Major",NA,NA
"303",8105892,"202410","202420",1,"BA Major",NA,NA
"304",8105892,"202410","202510",1,"Accountancy",NA,NA
"305",8106266,"202410","202410",1,"BA Major",NA,NA
"306",8106266,"202410","202420",1,"BA Major",NA,NA
"307",8106266,"202410","202510",1,"BA Major",NA,NA
"308",8107035,"202410","202410",1,"BA Major",NA,NA
"309",8107035,"202410","202420",1,"BA Major",NA,NA
"310",8107035,"202410","202510",1,"BA Major",NA,NA
"311",8107364,"202410","202410",1,"BA Major",NA,NA
"312",8107364,"202410","202420",1,"BA Major",NA,NA
"313",8107379,"202410","202410",1,"CAS",NA,NA
"314",8107379,"202410","202420",1,"CAS",NA,NA
"315",8107379,"202410","202510",1,"BA Major",NA,NA
"316",8107437,"202410","202410",1,"BA Major",NA,NA
