"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Graduated","Cum.Credit.Hrs","Cum.UG.Crs.GPA"
"97",8082698,202510,202510,"BA Major","None","None",0,67,"3.81"
"98",8084216,202510,202510,"BA Major","None","None",0,9,"1.56"
"99",8085468,202410,202410,"BA Major","None","None",0,39,"2.72"
"100",8085468,202410,202420,"BA Major","None","None",0,56,"3.1"
"101",8085468,202410,202510,"Accountancy","None","None",0,56,"3.1"
"102",8085741,202410,202410,"BA Major","None","None",0,37,"3.58"
"103",8085741,202410,202420,"BA Major","None","None",0,49,"3.65"
"104",8085741,202410,202510,"BA Major","None","None",0,49,"3.65"
"105",8088041,202410,202410,"BA Major","None","None",0,15,"2.21"
"106",8088041,202410,202420,"Marketing","None","None",0,29,"2.26"
"107",8088041,202410,202510,"Marketing","None","None",0,29,"2.26"
"108",8088162,202410,202410,"BA Major","None","None",0,14,"3.48"
"109",8088162,202410,202420,"Marketing","None","None",0,26,"3.41"
"110",8088162,202410,202510,"Marketing","None","None",0,26,"3.41"
"111",8088163,202410,202410,"BA Major","Entrepreneurship","None",0,16,"2.5"
"112",8088163,202410,202420,"BA Major","Entrepreneurship","None",0,24,"1.85"
"113",8088163,202410,202510,"BA Major","Entrepreneurship","None",0,24,"1.85"
"114",8088846,202410,202410,"BA Major","None","None",0,15,"2.01"
"115",8088846,202410,202420,"BA Major","None","None",0,29,"2.13"
"116",8088846,202410,202510,"BA Major","None","None",0,29,"2.13"
"117",8091615,202410,202410,"BA Major","None","None",0,24,"3.15"
"118",8091615,202410,202420,"BA Major","None","None",0,39,"2.95"
"119",8091615,202410,202510,"BA Major","None","None",0,39,"2.95"
"120",8092370,202410,202410,"BA Major","None","None",0,14,"2.67"
"121",8092370,202410,202420,"BA Major","None","None",0,25,"2.82"
"122",8092370,202410,202510,"BA Major","None","None",0,25,"2.82"
"123",8093446,202410,202410,"BA Major","None","None",0,23,"2.22"
"124",8093446,202410,202420,"BA Major","None","None",0,34,"2.21"
"125",8093446,202410,202510,"BA Major","None","None",0,34,"2.21"
"126",8093858,202410,202410,"BA Major","None","None",0,44,"3.58"
"127",8093858,202410,202420,"BA Major","None","None",0,59,"3.41"
"128",8093858,202410,202510,"BA Major","None","None",0,59,"3.41"
"129",8094275,202410,202410,"BA Major","None","None",0,74,"3.51"
"130",8094275,202410,202420,"BA Major","None","None",0,89,"2.74"
"131",8094275,202410,202510,"BA Major","None","None",0,97,"2.62"
"132",8094689,202410,202410,"BA Major","None","None",0,47,"3.68"
"133",8094689,202410,202420,"BA Major","None","None",0,63,"3.73"
"134",8094689,202410,202510,"BA Major","None","None",0,63,"3.73"
"135",8094793,202410,202410,"BA Major","None","None",0,29,"3.84"
"136",8094793,202410,202420,"Finance","None","None",0,42,"3.87"
"137",8094793,202410,202510,"Finance","None","None",0,42,"3.87"
"138",8095052,202410,202410,"BA Major","None","None",0,28,"3.83"
"139",8095052,202410,202420,"Accountancy","None","None",0,42,"3.73"
"140",8095052,202410,202510,"Accountancy","None","None",0,42,"3.73"
"141",8096247,202410,202410,"BA Major","None","None",0,22,"2.68"
"142",8096247,202410,202420,"Marketing","None","None",0,36,"3.05"
"143",8096247,202410,202510,"Marketing","None","None",0,36,"3.05"
"144",8096785,202410,202410,"BA Major","None","None",0,15,"2.34"
"145",8096785,202410,202420,"BA Major","None","None",0,29,"2.69"
"146",8096785,202410,202510,"BA Major","None","None",0,29,"2.69"
"147",8096793,202410,202410,"Undeclared - Business","None","None",0,19,"3.82"
"148",8096793,202410,202420,"Undeclared - Business","None","None",0,34,"3.52"
"149",8096793,202410,202510,"BA Major","None","None",0,34,"3.52"
"150",8097103,202410,202410,"BA Major","None","None",0,33,"3.72"
"151",8097103,202410,202420,"BA Major","None","None",0,45,"3.73"
"152",8097103,202410,202510,"BA Major","None","None",0,45,"3.73"
"153",8097201,202410,202410,"Marketing","None","None",0,15.5,"3.63"
"154",8097201,202410,202420,"Marketing","None","None",0,32.5,"3.57"
"155",8097201,202410,202510,"BA Major","None","None",0,32.5,"3.57"
"156",8097337,202410,202410,"BA Major","None","None",0,40,"3.28"
"157",8097337,202410,202420,"BA Major","None","None",0,52,"3.38"
"158",8097337,202410,202510,"BA Major","None","None",0,52,"3.38"
"159",8097617,202410,202410,"BA Major","None","None",0,60,"3.91"
"160",8097617,202410,202420,"BA Major","Finance","None",0,75,"3.95"
"161",8097617,202410,202510,"BA Major","Finance","None",0,75,"3.95"
"162",8097917,202410,202410,"BA Major","None","None",0,26,"2.95"
"163",8097917,202410,202420,"BA Major","None","None",0,43,"2.96"
"164",8097917,202410,202510,"BA Major","None","None",0,43,"2.96"
"165",8098459,202410,202410,"BA Major","None","None",0,36,"3.23"
"166",8098459,202410,202420,"BA Major","None","None",0,48,"2.57"
