"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"180",8196411,"202320",15,15,85
"181",8196411,"202410",0,16,101
"182",8196411,"202420",12,12,113
"183",8196411,"202510",NA,NA,113
"184",8197248,"202210",12,32,32
"185",8197248,"202220",13,13,45
"186",8197248,"202310",12,12,57
"187",8197248,"202320",15,15,72
"188",8197248,"202410",12,12,84
"189",8197248,"202420",0,15,99
"190",8197248,"202510",NA,NA,99
"191",8197334,"202210",16,40,40
"192",8197334,"202220",15,15,55
"193",8197334,"202310",17,17,72
"194",8197334,"202320",15,15,87
"195",8197334,"202410",16,16,103
"196",8197334,"202420",15,15,118
"197",8197334,"202510",NA,NA,118
"198",8197334,"202515",NA,NA,118
"199",8198622,"202210",15,57,57
"200",8198622,"202220",15,15,72
"201",8198622,"202310",15,15,87
"202",8198622,"202320",16,16,103
"203",8198622,"202410",15,15,118
"204",8198622,"202420",15,15,133
"205",8198622,"202430",0,0,133
"206",8198622,"202510",0,0,133
"207",8200937,"202210",12,12,12
"208",8200937,"202220",16,16,28
"209",8200937,"202310",16,16,44
"210",8200937,"202320",15,15,59
"211",8200937,"202410",15,15,74
"212",8200937,"202420",15,15,89
"213",8200937,"202510",NA,NA,89
"214",8200937,"202515",NA,NA,89
"215",8201100,"202210",15,15,15
"216",8201100,"202215",3,3,18
"217",8201100,"202220",15,15,33
"218",8201100,"202310",16,16,49
"219",8201100,"202320",15,15,64
"220",8201100,"202410",18,18,82
"221",8201100,"202415",6,6,88
"222",8201100,"202420",15,15,103
"223",8201100,"202510",NA,NA,103
"224",8201508,"202210",17,29,29
"225",8201508,"202215",3,3,32
"226",8201508,"202220",17,17,49
"227",8201508,"202230",3,3,52
"228",8201508,"202310",15,15,67
"229",8201508,"202315",3,3,70
"230",8201508,"202320",15,15,85
"231",8201508,"202410",15,15,100
"232",8201508,"202415",0,3,103
"233",8201508,"202420",17,17,120
"234",8201508,"202510",NA,NA,120
"235",8201904,"202210",12,59,59
"236",8201904,"202220",7,7,66
"237",8201904,"202310",9,9,75
"238",8201904,"202320",12,12,87
"239",8201904,"202330",3,3,90
"240",8201904,"202410",14,14,104
"241",8201904,"202415",6,6,110
"242",8201904,"202420",15,15,125
"243",8201904,"202510",NA,NA,125
"244",8201904,"202515",NA,NA,125
"245",8203154,"202210",19,69,69
"246",8203154,"202220",19,19,88
"247",8203154,"202230",3,3,91
