"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"120",8386140,"ISA235","201910","Y","B","B",3
"121",8386140,"MGT291","201910","Y","B","B+",3.3
"122",8386138,"ACC221","201820","Y","A","A",4
"123",8386138,"BUS104","201810","Y","A","A",4
"124",8386138,"CSE148","201820","Y","A","A",4
"125",8386138,"ECO201","201910","Y","A","A",4
"126",8386138,"FIN301","202110","Y","A","A",4
"127",8386138,"ISA225","201820","Y","A","A",4
"128",8386138,"ISA235","201910","Y","A","A-",3.7
"129",8386138,"MGT291","202020","Y","A","A",4
"130",8385894,"ACC221","201910","Y","B","B",3
"131",8385894,"BUS104","201820","Y","B","B-",2.7
"132",8385894,"CSE148","201810","Y","B","B+",3.3
"133",8385894,"ECO201","201910","Y","D","D+",1.3
"134",8385894,NA,"201920","Y","B","B",3
"135",8385894,"FIN301","202010","Y","B","B",3
"136",8385894,"ISA235","201920","Y","B","B+",3.3
"137",8385894,"MGT291","202015","Y","A","A-",3.7
"138",8385582,"ACC221","201910","Y","B","B+",3.3
"139",8385582,"BUS104","201820","Y","A","A-",3.7
"140",8385582,"CSE148","201810","Y","C","C+",2.3
"141",8385582,"ECO201","201910","Y","C","C",2
"142",8385582,"FIN301","202010","Y","C","C",2
"143",8385582,"ISA225","201820","Y","C","C+",2.3
"144",8385582,"ISA235","201920","Y","A","A-",3.7
"145",8385582,"MGT291","201910","Y","A","A-",3.7
"146",8384480,"ACC221","201820","Y","C","C-",1.7
"147",8384480,"BUS104","201810","Y","B","B+",3.3
"148",8384480,"CSE148","201820","Y","C","C",2
"149",8384480,"ECO201","201910","Y","D","D+",1.3
"150",8384480,"ISA235","201910","Y","B","B",3
"151",8384480,"MGT291","202010","Y","A","A",4
"152",8384327,"ACC221","201910","Y","B","B+",3.3
"153",8384327,"BUS104","201910","Y","A","A",4
"154",8384327,"CSE148","201920","Y","B","B+",3.3
"155",8384327,"ECO201","201820","Y","B","B-",2.7
"156",8384327,"FIN301","202010","Y","A","A-",3.7
"157",8384327,"ISA225","202010","Y","A","A-",3.7
"158",8384327,"ISA235","202010","Y","A","A",4
"159",8384327,"MGT291","201920","Y","B","B+",3.3
"160",8384327,"MTH151","201810","Y","A","A",4
"161",8383536,"ACC221","202010","Y","D","D-",0.7
"162",8383536,"BUS104","202020","Y","B","B",3
"163",8383536,"ECO201","201910","Y","C","C+",2.3
"164",8383536,"FIN301","202120","Y","B","B",3
"165",8383536,"ISA225","202210","Y","C","C+",2.3
"166",8383536,"ISA235","202115","Y","B","B",3
"167",8383536,"MGT291","202010","Y","B","B+",3.3
"168",8383536,"MTH151","201820","Y","A","A-",3.7
"169",8382573,"ACC221","201910","Y","A","A",4
"170",8382573,"BUS104","201820","Y","A","A",4
"171",8382573,"CSE148","201810","Y","A","A",4
"172",8382573,"ECO201","201910","Y","A","A",4
"173",8382573,"ISA225","201910","Y","A","A-",3.7
"174",8382573,"ISA235","202010","Y","B","B",3
"175",8382573,"MGT291","201830","Y","A","A-",3.7
"176",8382573,"MTH151","201810","Y","A","A+",4
"177",8382476,"ACC221","201810","Y","A","A",4
"178",8382476,"BUS104","201810","Y","A","A+",4
"179",8382476,"CSE148","201820","Y","A","A",4
"180",8382476,"FIN301","201920","Y","A","A",4
"181",8382476,"ISA225","201910","Y","A","A-",3.7
"182",8382476,"ISA235","201910","Y","A","A",4
"183",8382476,"MGT291","201920","Y","A","A",4
"184",8379976,"ACC221","201820","Y","D","D-",0.7
"185",8379976,"BUS104","201810","Y","B","B",3
"186",8379976,"CSE148","201820","Y","B","B",3
"187",8379976,"ISA225","201820","Y","C","C+",2.3
"188",8379976,"ISA235","201910","Y","C","C-",1.7
"189",8379976,"MGT291","201920","Y","B","B",3
"190",8379976,"MTH151","201810","Y","B","B+",3.3
"191",8379300,"ACC221","202010","Y","C","C-",1.7
"192",8379300,"BUS104","201910","Y","B","B+",3.3
"193",8379300,"CSE148","201810","Y","B","B",3
"194",8379300,"ECO201","201820","Y","D","D+",1.3
"195",8379300,"ISA225","201920","Y","B","B",3
"196",8379300,"ISA235","201910","Y","B","B",3
"197",8379300,"MGT291","201920","Y","B","B-",2.7
"198",8379300,"MTH151","201810","Y","D","D",1
"199",8379005,"ACC221","201910","Y","B","B+",3.3
"200",8379005,"BUS104","201810","Y","A","A-",3.7
