"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Term.Code.Graduated","Graduated","Cum.Credit.Hours","Cum.UG.Crs.GPA"
"82",8183142,202210,202510,"Cybersecurity Mgt Major","None","None",202520,1,105,2.89
"83",8185339,202210,202210,"Entrepreneurship","Undeclared - Business","None",202520,1,44,3.87
"84",8185339,202210,202210,"Entrepreneurship","Undeclared - Business","None",202520,1,44,3.87
"85",8185339,202210,202220,"Entrepreneurship","Undeclared - Business","None",202520,1,63,3.93
"86",8185339,202210,202220,"Entrepreneurship","Undeclared - Business","None",202520,1,63,3.93
"87",8185339,202210,202310,"Entrepreneurship","IS Major","None",202520,1,81,3.94
"88",8185339,202210,202310,"Entrepreneurship","IS Major","None",202520,1,81,3.94
"89",8185339,202210,202320,"Entrepreneurship","IS Major","None",202520,1,96,3.95
"90",8185339,202210,202320,"Entrepreneurship","IS Major","None",202520,1,96,3.95
"91",8185339,202210,202410,"Entrepreneurship","IS Major","None",202520,1,117,3.96
"92",8185339,202210,202410,"Entrepreneurship","IS Major","None",202520,1,117,3.96
"93",8185339,202210,202420,"Entrepreneurship","IS Major","None",202520,1,135,3.97
"94",8185339,202210,202420,"Entrepreneurship","IS Major","None",202520,1,135,3.97
"95",8185339,202210,202510,"Entrepreneurship","IS Major","None",202520,1,135,3.97
"96",8185339,202210,202510,"Entrepreneurship","IS Major","None",202520,1,135,3.97
"97",8188789,202210,202210,"IS Major","None","None",202520,1,27,3.45
"98",8188789,202210,202220,"IS Major","None","None",202520,1,42,3.06
"99",8188789,202210,202310,"IS Major","None","None",202520,1,54,3.15
"100",8188789,202210,202320,"IS Major","None","None",202520,1,69,3.07
"101",8188789,202210,202410,"IS Major","None","None",202520,1,86,2.98
"102",8188789,202210,202420,"IS Major","None","None",202520,1,99,3.04
"103",8188789,202210,202510,"IS Major","None","None",202520,1,99,3.04
"104",8189765,202210,202210,"Undeclared - Business","None","None",202520,1,36,2.7
"105",8189765,202210,202220,"Undeclared - Business","None","None",202520,1,52,2.83
"106",8189765,202210,202310,"IS Major","None","None",202520,1,67,2.8
"107",8189765,202210,202320,"IS Major","None","None",202520,1,79,2.81
"108",8189765,202210,202410,"Cybersecurity Mgt Major","None","None",202520,1,94,2.71
"109",8189765,202210,202420,"Cybersecurity Mgt Major","None","None",202520,1,106,2.7
"110",8189765,202210,202510,"Cybersecurity Mgt Major","None","None",202520,1,106,2.7
"111",8190053,202310,202310,"IS Major","None","None",202520,1,70,2.75
"112",8190053,202310,202320,"IS Major","None","None",202520,1,86,2.99
"113",8190053,202310,202410,"IS Major","None","None",202520,1,98,2.85
"114",8190053,202310,202420,"IS Major","None","None",202520,1,116,2.9
"115",8190053,202310,202510,"IS Major","None","None",202520,1,122,2.85
"116",8190645,202210,202210,"IS Major","None","None",202520,1,27,3.81
"117",8190645,202210,202220,"IS Major","None","None",202520,1,44,3.75
"118",8190645,202210,202310,"Cybersecurity Mgt Major","None","None",202520,1,60,3.6
"119",8190645,202210,202320,"IS Major","None","None",202520,1,75,3.63
"120",8190645,202210,202410,"IS Major","None","None",202520,1,91,3.61
"121",8190645,202210,202420,"IS Major","None","None",202520,1,107,3.58
"122",8190645,202210,202510,"IS Major","None","None",202520,1,107,3.58
"123",8190732,202210,202210,"Business Economics","None","None",202520,1,51,3.65
"124",8190732,202210,202220,"IS Major","None","None",202520,1,68,3.71
"125",8190732,202210,202310,"Cybersecurity Mgt Major","None","None",202520,1,80,3.72
