"","Student ID","Enrolled Student Count"
"279","8147231","1"
"280","8147335","1"
"281","8147369","1"
"282","8147431","1"
"283","8147458","1"
"284","8147889","1"
"285","8147973","1"
"286","8148045","1"
"287","8148167","1"
"288","8148469","1"
"289","8148923","1"
"290","8149274","1"
"291","8149335","1"
"292","8149556","1"
"293","8150970","1"
"294","8151012","1"
"295","8151086","1"
"296","8151107","1"
"297","8151305","1"
"298","8151587","1"
"299","8151654","1"
"300","8152069","1"
"301","8152289","1"
"302","8152321","1"
"303","8152659","1"
"304","8152662","1"
"305","8153125","1"
"306","8153342","1"
"307","8153377","1"
"308","8153542","1"
"309","8154142","1"
"310","8154259","1"
"311","8154315","1"
"312","8154337","1"
"313","8160801","1"
"314","8160820","1"
"315","8161085","1"
"316","8161157","1"
"317","8161399","1"
"318","8161439","1"
"319","8161724","1"
"320","8161990","1"
"321","8162016","1"
"322","8162164","1"
"323","8162281","1"
"324","8162853","1"
"325","8162901","1"
"326","8162906","1"
"327","8163008","1"
"328","8163086","1"
"329","8163102","1"
"330","8163147","1"
"331","8163195","1"
"332","8163233","1"
"333","8163250","1"
"334","8163402","1"
"335","8163696","1"
"336","8163731","1"
"337","8163855","1"
"338","8163909","1"
"339","8164025","1"
"340","8164180","1"
"341","8164296","1"
"342","8164571","1"
"343","8164864","1"
"344","8164883","1"
"345","8164912","1"
"346","8165255","1"
"347","8165872","1"
"348","8166070","1"
"349","8166091","1"
"350","8166116","1"
"351","8166267","1"
"352","8166844","1"
"353","8166978","1"
"354","8167256","1"
"355","8167504","1"
"356","8167563","1"
"357","8167567","1"
"358","8167996","1"
"359","8168302","1"
"360","8168593","1"
"361","8168703","1"
"362","8168751","1"
"363","8169012","1"
"364","8169051","1"
"365","8171318","1"
"366","8171610","1"
"367","8174326","1"
"368","8176990","1"
"369","8177425","1"
"370","8178743","1"
"371","8178847","1"
"372","8181140","1"
"373","8181775","1"
"374","8181895","1"
"375","8182276","1"
"376","8182483","1"
"377","8183119","1"
"378","8183242","1"
"379","8183371","1"
"380","8183546","1"
"381","8183549","1"
"382","8183672","1"
"383","8184225","1"
"384","8184292","1"
"385","8184322","1"
"386","8184369","1"
"387","8185177","1"
"388","8185334","1"
"389","8185381","1"
"390","8185825","1"
"391","8186192","1"
"392","8186376","1"
"393","8186466","1"
"394","8186627","1"
"395","8187393","1"
"396","8187578","1"
"397","8187727","1"
"398","8188147","1"
"399","8188159","1"
"400","8188216","1"
"401","8188286","1"
"402","8188376","1"
"403","8188396","1"
"404","8189088","1"
"405","8189159","1"
"406","8189574","1"
"407","8189686","1"
"408","8189730","1"
"409","8189864","1"
"410","8189891","1"
"411","8190065","1"
"412","8190111","1"
