"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"101",8189765,"202210","202410",1,"Cybersecurity Mgt Major",NA,NA
"102",8189765,"202210","202420",1,"Cybersecurity Mgt Major",NA,NA
"103",8189765,"202210","202510",1,"Cybersecurity Mgt Major",NA,NA
"104",8190053,"202310","202310",1,"IS Major",NA,NA
"105",8190053,"202310","202320",1,"IS Major",NA,NA
"106",8190053,"202310","202410",1,"IS Major",NA,NA
"107",8190053,"202310","202420",1,"IS Major",NA,NA
"108",8190053,"202310","202510",1,"IS Major",NA,NA
"109",8190645,"202210","202210",1,"IS Major",NA,NA
"110",8190645,"202210","202220",1,"IS Major",NA,NA
"111",8190645,"202210","202310",1,"Cybersecurity Mgt Major",NA,NA
"112",8190645,"202210","202320",1,"IS Major",NA,NA
"113",8190645,"202210","202410",1,"IS Major",NA,NA
"114",8190645,"202210","202420",1,"IS Major",NA,NA
"115",8190645,"202210","202510",1,"IS Major",NA,NA
"116",8190732,"202210","202210",1,"Business Economics",NA,NA
"117",8190732,"202210","202220",1,"IS Major",NA,NA
"118",8190732,"202210","202310",1,"Cybersecurity Mgt Major",NA,NA
"119",8190732,"202210","202320",1,"Cybersecurity Mgt Major",NA,NA
"120",8190732,"202210","202410",1,"Cybersecurity Mgt Major",NA,NA
"121",8190732,"202210","202420",1,"Cybersecurity Mgt Major",NA,NA
"122",8190732,"202210","202510",1,"Cybersecurity Mgt Major",NA,NA
"123",8193517,"202210","202210",1,"IS Major",NA,NA
"124",8193517,"202210","202220",1,"IS Major",NA,NA
"125",8193517,"202210","202310",1,"IS Major",NA,NA
"126",8193517,"202210","202320",1,"IS Major",NA,NA
"127",8193517,"202210","202410",1,"IS Major",NA,NA
"128",8193517,"202210","202420",1,"IS Major",NA,NA
"129",8193517,"202210","202510",1,"IS Major",NA,NA
"130",8194067,"202210","202210",1,"Undeclared - Business",NA,NA
"131",8194067,"202210","202220",1,"Undeclared - Business",NA,NA
"132",8194067,"202210","202310",1,"IS Major",NA,NA
"133",8194067,"202210","202320",1,"IS Major",NA,NA
"134",8194067,"202210","202410",1,"IS Major",NA,NA
"135",8194067,"202210","202420",1,"IS Major",NA,NA
"136",8194067,"202210","202510",1,"IS Major",NA,NA
"137",8194253,"202210","202210",1,"BA Major",NA,NA
"138",8194253,"202210","202220",1,"BA Major","IS Major",NA
"139",8194253,"202210","202310",1,"BA Major","IS Major",NA
"140",8194253,"202210","202320",1,"BA Major","IS Major",NA
"141",8194253,"202210","202410",1,"BA Major","IS Major",NA
"142",8194253,"202210","202420",1,"BA Major","IS Major",NA
"143",8194253,"202210","202510",1,"BA Major","IS Major",NA
"144",8194429,"202210","202210",1,"Marketing",NA,NA
"145",8194429,"202210","202220",1,"IS Major",NA,NA
"146",8194429,"202210","202310",1,"IS Major",NA,NA
"147",8194429,"202210","202320",1,"IS Major",NA,NA
"148",8194429,"202210","202410",1,"Accountancy","IS Major",NA
"149",8194429,"202210","202420",1,"Accountancy","IS Major",NA
"150",8194429,"202210","202510",1,"IS Major",NA,NA
"151",8196411,"202210","202210",1,"IS Major",NA,NA
"152",8196411,"202210","202220",1,"IS Major",NA,NA
"153",8196411,"202210","202310",1,"IS Major",NA,NA
"154",8196411,"202210","202320",1,"IS Major",NA,NA
"155",8196411,"202210","202410",1,"IS Major",NA,NA
"156",8196411,"202210","202420",1,"IS Major",NA,NA
"157",8196411,"202210","202510",1,"IS Major",NA,NA
"158",8197248,"202210","202210",1,"IS Major",NA,NA
"159",8197248,"202210","202220",1,"IS Major",NA,NA
"160",8197248,"202210","202310",1,"Cybersecurity Mgt Major",NA,NA
"161",8197248,"202210","202320",1,"Cybersecurity Mgt Major",NA,NA
"162",8197248,"202210","202410",1,"Cybersecurity Mgt Major",NA,NA
"163",8197248,"202210","202420",1,"Cybersecurity Mgt Major",NA,NA
"164",8197248,"202210","202510",1,"Cybersecurity Mgt Major",NA,NA
"165",8197334,"202210","202210",1,"Undeclared - Business",NA,NA
"166",8197334,"202210","202220",1,"Undeclared - Business",NA,NA
"167",8197334,"202210","202310",1,"Accountancy",NA,NA
"168",8197334,"202210","202320",1,"Accountancy","IS Major",NA
"169",8197334,"202210","202410",1,"Accountancy","IS Major",NA
"170",8197334,"202210","202420",1,"Accountancy",NA,NA
"171",8197334,"202210","202510",1,"Accountancy",NA,NA
"172",8198622,"202210","202210",1,"Business Economics",NA,NA
"173",8198622,"202210","202220",1,"Business Economics",NA,NA
"174",8198622,"202210","202310",1,"Business Economics",NA,NA
"175",8198622,"202210","202320",1,"Finance","IS Major",NA
"176",8198622,"202210","202410",1,"Finance","IS Major",NA
"177",8198622,"202210","202420",1,"Accountancy","Business Economics",NA
"178",8198622,"202210","202510",1,"Accountancy",NA,NA
"179",8200937,"202210","202210",1,"Undeclared - Business",NA,NA
"180",8200937,"202210","202220",1,"Undeclared - Business",NA,NA
"181",8200937,"202210","202310",1,"Undeclared - Business",NA,NA
"182",8200937,"202210","202320",1,"IS Major",NA,NA
"183",8200937,"202210","202410",1,"IS Major",NA,NA
"184",8200937,"202210","202420",1,"IS Major",NA,NA
"185",8200937,"202210","202510",1,"IS Major",NA,NA
"186",8201100,"202210","202210",1,"BA Major",NA,NA
"187",8201100,"202210","202220",1,"BA Major",NA,NA
"188",8201100,"202210","202310",1,"BA Major",NA,NA
