"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"120",8389477,"ISA245","201920","Y","A","A",4
"121",8389477,"ISA281","202010","Y","A","A-",3.7
"122",8389477,"ISA301","202010","Y","A","A-",3.7
"123",8389477,"ISA305","202120","Y","A","A-",3.7
"124",8389477,"ISA387","202010","Y","B","B+",3.3
"125",8389477,"ISA401","202020","Y","A","A",4
"126",8389477,"ISA405","202020","Y","A","A",4
"127",8389477,"ISA406","202110","Y","A","A-",3.7
"128",8389477,"ISA495","202120","Y","A","A",4
"129",8389477,"MGT291","202030","Y","A","A",4
"130",8389477,"MTH151","201810","Y","B","B+",3.3
"131",8389212,"ACC221","201820","Y","C","C",2
"132",8389212,"BUS104","201810","Y","B","B+",3.3
"133",8389212,"CSE148","201820","Y","C","C-",1.7
"134",8389212,"FIN301","201920","Y","C","C",2
"135",8389212,"ISA225","201910","Y","B","B",3
"136",8389212,"ISA235","201920","Y","A","A-",3.7
"137",8389212,"ISA245","202020","Y","B","B-",2.7
"138",8389212,"ISA281","202110","Y","A","A",4
"139",8389212,"ISA301","202020","Y","B","B+",3.3
"140",8389212,"ISA303","202110","Y","A","A-",3.7
"141",8389212,"ISA387","202110","Y","B","B+",3.3
"142",8389212,"ISA403","202120","Y","A","A-",3.7
"143",8389212,"ISA406","202120","Y","A","A-",3.7
"144",8389212,"ISA495","202120","Y","A","A",4
"145",8389212,"MGT291","202010","Y","A","A",4
"146",8389050,"ACC221","201810","Y","C","C+",2.3
"147",8389050,"BUS104","201820","Y","B","B",3
"148",8389050,"CSE148","201830","Y","A","A-",3.7
"149",8389050,"ISA225","201910","Y","B","B",3
"150",8389050,"ISA235","201910","Y","B","B",3
"151",8389050,"ISA245","201920","Y","C","C+",2.3
"152",8389050,"ISA281","202020","Y","A","A-",3.7
"153",8389050,"ISA291","202020","Y","B","B+",3.3
"154",8389050,"ISA301","201920","Y","B","B-",2.7
"155",8389050,"ISA321","202120","Y","B","B",3
"156",8389050,"ISA405","202020","Y","B","B+",3.3
"157",8389050,"ISA406","202120","Y","B","B",3
"158",8389050,"ISA495","202110","Y","A","A",4
"159",8387363,"ACC221","201820","Y","B","B+",3.3
"160",8387363,"BUS104","201820","Y","A","A-",3.7
