"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"176",8097103,"202410",15,33,33
"177",8097103,"202420",12,12,45
"178",8097103,"202510",NA,NA,45
"179",8097201,"202410",15.5,15.5,15.5
"180",8097201,"202420",17,17,32.5
"181",8097201,"202510",NA,NA,32.5
"182",8097337,"202410",15,40,40
"183",8097337,"202420",12,12,52
"184",8097337,"202510",NA,NA,52
"185",8097337,"202520",NA,NA,52
"186",8097617,"202410",17,60,60
"187",8097617,"202420",15,15,75
"188",8097617,"202510",NA,NA,75
"189",8097917,"202410",17,26,26
"190",8097917,"202420",17,17,43
"191",8097917,"202510",NA,NA,43
"192",8098459,"202410",15,36,36
"193",8098459,"202420",12,12,48
"194",8098459,"202510",NA,NA,48
"195",8098511,"202410",15,22,22
"196",8098511,"202420",15,15,37
"197",8098511,"202510",NA,NA,37
"198",8098637,"202410",15,54,54
"199",8098637,"202420",16,16,70
"200",8098637,"202510",NA,NA,70
"201",8098693,"202410",15,15,15
"202",8098693,"202420",16,16,31
"203",8098693,"202510",NA,NA,31
"204",8098995,"202410",16,19,19
"205",8098995,"202420",12,12,31
"206",8098995,"202510",NA,NA,31
"207",8099721,"202410",15,15,15
"208",8099721,"202415",3,3,18
"209",8099721,"202420",15,15,33
"210",8099721,"202510",NA,NA,33
"211",8099820,"202410",15.5,15.5,15.5
"212",8099820,"202420",14,14,29.5
"213",8099820,"202510",NA,NA,29.5
"214",8100116,"202410",18,18,18
"215",8100116,"202420",15,15,33
"216",8100116,"202510",NA,NA,33
"217",8100342,"202410",16,33,33
"218",8100342,"202420",15,15,48
"219",8100342,"202510",NA,NA,48
"220",8100342,"202520",NA,NA,48
"221",8100526,"202410",16,16,16
"222",8100526,"202420",13,13,29
"223",8100526,"202430",0,4,NA
"224",8100526,"202510",NA,NA,33
"225",8100549,"202410",16,16,16
"226",8100549,"202415",3,3,19
"227",8100549,"202420",15,15,34
"228",8100549,"202510",NA,NA,34
"229",8100549,"202515",NA,NA,34
"230",8100919,"202410",13.5,13.5,13.5
"231",8100919,"202420",14,14,27.5
"232",8100919,"202510",NA,NA,27.5
"233",8101018,"202410",16,42,42
"234",8101018,"202420",14,14,56
"235",8101018,"202510",NA,NA,56
"236",8101018,"202520",NA,NA,56
"237",8101123,"202410",15,15,15
"238",8101123,"202415",2,2,17
"239",8101123,"202420",15,15,32
"240",8101123,"202430",3,3,35
"241",8101123,"202510",NA,NA,35
"242",8101143,"202410",16,19,19
"243",8101143,"202420",17,17,36
"244",8101143,"202510",NA,NA,36
"245",8101331,"202410",17,56,56
"246",8101331,"202420",16,16,72
"247",8101331,"202510",NA,NA,72
"248",8101424,"202410",17,37,37
"249",8101424,"202415",3,3,40
"250",8101424,"202420",17,17,57
"251",8101424,"202430",6,12,69
"252",8101424,"202510",NA,NA,69
"253",8101424,"202515",NA,NA,69
"254",8101439,"202410",15,27,27
"255",8101439,"202415",3,3,30
"256",8101439,"202420",15,15,45
"257",8101439,"202430",3,3,48
"258",8101439,"202510",NA,NA,48
"259",8101439,"202515",NA,NA,48
"260",8101439,"202520",NA,NA,48
"261",8101878,"202410",17,41,41
"262",8101878,"202420",15,15,56
"263",8101878,"202510",NA,NA,56
"264",8102153,"202410",15,31,31
"265",8102153,"202420",14,14,45
"266",8102153,"202510",NA,NA,45
"267",8102286,"202410",17,35,35
"268",8102286,"202420",15,15,50
"269",8102286,"202510",NA,NA,50
"270",8102295,"202410",15,39,39
"271",8102295,"202420",15,15,54
"272",8102295,"202510",NA,NA,54
"273",8102295,"202520",NA,NA,54
"274",8102400,"202410",17,52,52
"275",8102400,"202420",16,16,68
"276",8102400,"202510",NA,NA,68
"277",8102524,"202410",15,27,27
"278",8102524,"202420",14,14,41
"279",8102524,"202510",NA,NA,41
"280",8102798,"202410",16,44,44
"281",8102798,"202420",12,12,56
"282",8102798,"202430",8,8,64
"283",8102798,"202510",NA,NA,64
"284",8102811,"202410",8,8,8
"285",8102811,"202415",3,3,11
"286",8102811,"202420",10,10,21
"287",8102811,"202510",NA,NA,21
"288",8102842,"202410",15,30,30
"289",8102842,"202420",15,15,45
"290",8102842,"202510",NA,NA,45
"291",8102851,"202410",15,37,37
"292",8102851,"202420",16,16,53
"293",8102851,"202510",NA,NA,53
"294",8102908,"202410",13,33,33
"295",8102908,"202420",12,12,45
"296",8102908,"202510",NA,NA,45
"297",8103304,"202410",17,30,30
"298",8103304,"202420",15,15,45
"299",8103304,"202510",NA,NA,45
"300",8103469,"202410",15,37,37
"301",8103469,"202420",16,16,53
"302",8103469,"202510",NA,NA,53
"303",8103883,"202410",16,16,16
"304",8103883,"202420",15,15,31
"305",8103883,"202510",NA,NA,31
"306",8103883,"202515",NA,NA,31
"307",8103899,"202410",15,19,19
"308",8103899,"202420",15,15,34
"309",8103899,"202510",NA,NA,34
"310",8104179,"202410",15,15,15
"311",8104179,"202420",14,14,29
"312",8104179,"202510",0,0,29
"313",8104179,"202515",NA,NA,29
"314",8104279,"202410",17,17,17
"315",8104279,"202420",15,15,32
"316",8104279,"202510",NA,NA,32
"317",8104556,"202410",15,19,19
"318",8104556,"202420",17,17,36
"319",8104556,"202510",NA,NA,36
"320",8104584,"202410",15,47,47
"321",8104584,"202420",15,15,62
"322",8104584,"202510",NA,NA,62
"323",8104584,"202520",NA,NA,62
"324",8104623,"202410",16,16,16
"325",8104623,"202420",14,14,30
"326",8104748,"202410",16,16,16
"327",8104748,"202420",18,18,34
